,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Open_time,Close_time
0,1691992800000,1850.32,1851.67,1848.14,1848.61,39427.524,1691996399999,72906162.41185,34224,17513.851,32386322.01242,0,2023-08-14 06:00:00,2023-08-14 06:59:59
1,1691996400000,1848.60,1849.75,1847.43,1848.9,38991.601,1691999999999,72076250.48080,31241,19451.997,35956541.07185,0,2023-08-14 07:00:00,2023-08-14 07:59:59
2,1692000000000,1848.90,1851.60,1848.31,1848.44,49293.709,1692003599999,91183573.86212,37784,23583.861,43625275.26996,0,2023-08-14 08:00:00,2023-08-14 08:59:59
3,1692003600000,1848.45,1849.28,1847.40,1848.48,28408.226,1692007199999,52503289.30580,27100,13910.692,25709388.36380,0,2023-08-14 09:00:00,2023-08-14 09:59:59
4,1692007200000,1848.48,1849.10,1847.84,1848.96,15179.287,1692010799999,28058568.22707,16055,7738.248,14303992.65402,0,2023-08-14 10:00:00,2023-08-14 10:59:59
5,1692010800000,1848.97,1849.16,1845.46,1847.48,36255.807,1692014399999,66962881.53819,30624,16113.794,29760085.29764,0,2023-08-14 11:00:00,2023-08-14 11:59:59
6,1692014400000,1847.49,1847.56,1843.66,1846.07,42846.397,1692017999999,79084436.72697,34122,18738.844,34587384.44417,0,2023-08-14 12:00:00,2023-08-14 12:59:59
7,1692018000000,1846.07,1846.45,1843.34,1845.82,48460.16,1692021599999,89404827.93022,39754,24485.606,45174214.65811,0,2023-08-14 13:00:00,2023-08-14 13:59:59
8,1692021600000,1845.81,1853.97,1845.44,1851.44,119862.548,1692025199999,221792241.29454,80463,64023.613,118461812.89067,0,2023-08-14 14:00:00,2023-08-14 14:59:59
9,1692025200000,1851.43,1855.86,1849.05,1852.69,93248.618,1692028799999,172784623.07635,80255,46976.833,87048071.26356,0,2023-08-14 15:00:00,2023-08-14 15:59:59
10,1692028800000,1852.68,1854.91,1851.69,1852.55,56017.908,1692032399999,103829125.25497,53415,27817.865,51563598.87579,0,2023-08-14 16:00:00,2023-08-14 16:59:59
11,1692032400000,1852.55,1853.19,1846.05,1846.68,70565.217,1692035999999,130509947.71376,54788,29199.445,54003895.94278,0,2023-08-14 17:00:00,2023-08-14 17:59:59
